User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
Ono Widadi,2025,5,lumayan nyaman menginap di sini jarak dari bandara ke hotel sekitar sepuluh menit makanya yang di sediakan juga cocok di lidah kolam renang nya bagus luas pelayanan dari pihak resto mbak desy sangat memuaskan terimakasih,BUMN,Bintang 3,KyriadHotelAirportTanggerang,positive,Fasilitas Hotel (Kolam/Gym/Spa)
_ Black_Lotus,2025,5,sebagai hotel bintang 3 fasilitas sarapan di bandara kyriad hotel jakarta sudah cukup baik meskipun variasi menu sarapan tidak terlalu banyak pengalaman sarapan tetap terasa nyaman berkat pelayanan ms desy yang sangat profesional dan ramah ms desy dengan sigap membantu tamu memberikan rekomendasi menu terbaik yang tersedia serta memastikan kebutuhan tamu terpenuhi dengan baik beliau juga mendengarkan setiap masukan dan keluhan tamu dengan sopan lalu mencatatnya sebagai bahan perhatian sikap ini membuat tamu merasa dihargai dan diperhatikan pelayanan ms desy menunjukkan dedikasi dan tanggung jawab yang tinggi dalam memberikan pelayanan terbaik sesuai standar hotel terima kasih atas pelayanan yang sangat baik dan berkesan,BUMN,Bintang 3,KyriadHotelAirportTanggerang,positive,Pelayanan Staf & Keramahan
Siti Samsiah,2025,5,pengalaman menginap di sini sangat lumayan memuaskan untuk kamar baru kamar baru bersih nyaman bisa buat tidur dan istirahat makanan nya enak pelayanan dari staf mbk desy sangat baik dan ramah terimakasih,BUMN,Bintang 3,KyriadHotelAirportTanggerang,positive,Kebersihan & Kenyamanan Kamar
Andri Suyanto,2025,5,pengalaman menginap di sini sangat memuaskan pelayanan dari staf resto nya mbk desy dan tim benar benar memuaskan sekali semoga sukses semua kedepan baru mandi dikamar udara nya lambat dan teko pemanas udara tidak berfungsi hanya itu saja tapi tidak masalah karena nyaman untuk menginap,BUMN,Bintang 3,KyriadHotelAirportTanggerang,positive,Kualitas Makanan & Restoran
Hamonangan Sukses,2025,5,pengalaman menginap di sini lumayan memuaskan meskipun ada beberapa bagian kamar yang perlu di kucing ulang dan di memperbaiki makanan nya enak dan memuaskan cocok di lidah dan tidak pelit bumbu pelayanan dari mbk desy sangat ramah dan baik di pertahanan,BUMN,Bintang 3,KyriadHotelAirportTanggerang,positive,Kebersihan & Kenyamanan Kamar
I’m a Happyman,2025,5,pengalaman menginap di sini sangat memuaskan karna pelayanan dari semua stafnya yang sangat baik jadi membuat saya sebagai tamu merasa nyaman dan ingin kembali menginap lagi di sini terutama pelayanan dari pihak staf mbk desy sangat mem memuskan terimakasih sukses terus kedepan nya,BUMN,Bintang 3,KyriadHotelAirportTanggerang,positive,Pelayanan Staf & Keramahan
DAP,2025,5,ac dingin kamar bersih kamar mandi bersih wifi kencang tidak berisik jalanan tidak berisik tidak ada smarttv tidak ada uang setoran cek masuk bisa masuk pukul 13.00 dapat parkir gratis untuk 1 unit kendaraan saja ada banyak ruang pertemuan banyak colokan kabel ada jendela tebal ada mesin penjualan minuman makanan ringan di lobi ada sandal kamar dan kotak keselamatan bantal besar dan tebal lokasi jauh dari toko minimarket pedagang makanan kelebihannya cuma dekat dari bandara ada telepon berdering di malam hari saat diangkat terputus mengerikan tak ada pengering rambut panas lobi dan gerah saran memperbaiki telepon di kamar dan tambahkan,BUMN,Bintang 3,KyriadHotelAirportTanggerang,positive,Kebersihan & Kenyamanan Kamar
ilham kautsar,2025,4,hotel ini bagus hanya saja harus di perbarui sedikit agar terlihat lebih segar untuk kamar kamar bagus ac dingin wifi kencang tapi beberapa tempat kamar ada yang harus baru di perbaiki agar enak terlihat seperti bekas bocoran ac kayu yang sudah mulai mengelupas keramik yang mulai kopong tidak rekat lagi untuk kamar mandi air mandi tidak deras tapi masih oke drainase tidak mampet hanya saja agak lama untuk menyerap udara sehingga membuat genangan yang cukup penuh mandi saat untuk staf ramah cekatan semua sangat membantu saya telepon untuk meminta piring mangkok kirim garpu dan juga segelas es batu datang sangat cepat,BUMN,Bintang 3,KyriadHotelAirportTanggerang,positive,Infrastruktur (AC/WiFi/Parkir/Air)
Al Hafis,2025,5,Saya menginal di kamar 206 kamar nya bagus tidak ada kendala apapun nyaman bersih cuma agak klasik saja kamar nya alias lama kamar nya jadi agak klasik saja di lihat tapi tetap nyaman makanan nya nya terang enak pelayanan dari pihak resto mbak desy sangat baik dan memuaskan tetimakasih,BUMN,Bintang 3,KyriadHotelAirportTanggerang,positive,Kebersihan & Kenyamanan Kamar
Kim puL,2025,5,Pengalaman yang sangat memukau untuk kamar baru bisa membuat tidur yang bagus pelaynan dari mbk desy sangat memukau sekali di pertahan untuk kedepan nyab,BUMN,Bintang 3,KyriadHotelAirportTanggerang,positive,Kebersihan & Kenyamanan Kamar
