User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
Barra Mahatva,2025,3,menginap pada hari Jumat 26 12 2025 secara umum layanannya oke tapi ada beberapa hal yang perlu diperhatikan 1 basement 3 tidak tercover oleh lift ini sangat merepotkan ketika kita datang tidak ada petugas yang mengarahkan ke lobi untuk reservasi maka kita langsung masuk ke parkir diarahkan ke basement 3 karena b1 dan b2 sudah penuh akhirnya kita harus ngangkat barang2 kita termasuk koper besar menuju basement 2 dengan naik tangga manual untuk petugas parkir perlu ditingkatkan kompetensi nya harus berhenti dulu ditanya mau memeriksa masuk atau tidak langsung mengarahkan ke b3 lebih mengecewakan lagi ketika sampai b2 ternyata masih ada beberapa,KOMPETITOR,Bintang 4,TheAlana,negative,Infrastruktur (AC/WiFi/Parkir/Air)
octavia intan,2025,1,saya memesan hotel untuk 2 kamar tipe junior suite sampai di hotel sudah jam 10 malam bersama anak2 saya yang masih sd tapi tyt kamarnya tinggal 1 padahal sudah membayar bulanan melalui agoda yang membuat kesal adalah tidak ada empati dari resepsionis berambut panjang dan berkacamata tidak peduli dengan kondisi saya pokoknya itu kesalahan agoda dy cm py 1 kamar dan merasa sudah mengkonfirmasi ke agoda setelah marah2 kmrnya baru ada tapi smpe akhir pun dy ttp pd merasa tidak salah karena ttp jawab2 terus merasa sudah berupayahl manajer pada tugas nya dan resepsionis satu lagi merasa bersalah terlihat,KOMPETITOR,Bintang 4,TheAlana,negative,Pelayanan Staf & Keramahan
M Ramadhani,2026,3,kamar oke resto oke pelayanan oke kolam renang yang tidak saya suka pengunjung diperbolehkan merokok di meja2 di area kolam renang disediain asbak yang ngerokok ini ya orang2 yang tidak renang rame anak2 padahal anak2 dan yang lain yang ingin seneng2 dan seger2 malah sangat terganggu dengan asap rokok,KOMPETITOR,Bintang 4,TheAlana,negative,Fasilitas Hotel (Kolam/Gym/Spa)
marriane hadi,2026,5,Meskipun sudah mencoba hotel di solo akhirnya selalu kembali menginap di sini yang tidak suka dari hotel ini adlh meskipun bukan di daerah tengah kota tapi menawarkan suasana menginap yang lebih tenang kamar luas parkir basement memadai selain itu jg semua staf selalu ramah pada semua tamu serta kolamnya cukup luas jadi nyaman untuk berolahraga terima kasih alana u akan selalu menjadi tempat favorit saya untuk menginap,KOMPETITOR,Bintang 4,TheAlana,positive,Pelayanan Staf & Keramahan
Ameylinda Monica W,2025,5,kali pertama saya bermalam di surakarta menginap di alana dari fasilitas kamar cukup lengkap sarapan bervariasi dan enak lokasi di pinggir jalan besar menuju bandara sehingga mudah diakses housekeeping dan asisten ramah interior modern dan view dari kamar cukup bagus serta kolam renang baru besar saat sarapan saya dibantu oleh pelayan dewi dan juga mencicipi anggur jawa alana saya mengambil kamar mewah keluarga ternyata ukuran ruang tidurnya sama saja dengan kamar mewah biasa hanya berbeda dengan kamar mandi dan lorongnya terlalu besar jadi diluar ekspektasi saya keseluruhan baik dan terima kasih banyak atas layanannya,KOMPETITOR,Bintang 4,TheAlana,positive,Pelayanan Staf & Keramahan
Dwi Wahyu Maharani,2026,5,Wa sarapan paginya bukaanyak jenis menarik ac dingin banget dah pelayanan ramah2 ruang bersih wangi kolam renang juga bersih dianjurkan buat staycation,KOMPETITOR,Bintang 4,TheAlana,positive,Kebersihan & Kenyamanan Kamar
riantiarno aldi sasongko,2025,5,ruang hotelnya luas dan nyaman desain modern pelayanan oke dan sangat dianjurkan ruang rapatnya restonya cukup variatif masakannya dan cukup enak tapi secara pribadi dari sisi rasa perlu sedikit ditingkatkan dibandingkan beberapa hotel yang pernah saya datangi tapi subjektif saya sih secara keseluruhan sangat sangat oke dan dianjurkan sangat apalagi jika untuk rapat atau acara maaf foto dan video belum ketemu filenya,KOMPETITOR,Bintang 4,TheAlana,positive,Kualitas Makanan & Restoran
putri oktaviani,2025,3,Saya menghadiri acara wisuda tanggal 13 Desember 2025 secara keseluruhan semuanya baik dalam pelayanan alana hotel kebetulan saya parkir di ruang bawah tanah bersama bbrpa orang wisudawan tapi ketika naik tangga dari ruang bawah tanah terdapat oknum foto dokumentasi yang saya kira itu dari panitia karena org didepan saya tidak berhenti untuk mengambil foto tapi setelah selesai acara ternyata kita tidak akan membayar uang karena foto td dicetak agak mengecewakan karena sebenernya karena gk berharap saja suruh bayar bukan masalah uang cuma hasil foto jg tidak bagus2 amat jadi merasa sia2 bayar juga seharusnya ada pengawasan juga juga dari alana mohon di lintas pihak cek,KOMPETITOR,Bintang 4,TheAlana,negative,Pelayanan Staf & Keramahan
fuad rokhman,2025,5,senang sekali menginap di sini kamarnya lega bersih dan nyaman minum air disediakan dengan dispenser di luar kamar tapi tenang ada jug air buat ambil ke luar kamar udara di kamar mandi juga lancar pilihan makanan beragam dan enak semua parkir lumayan lega stafnya juga sigap dan melayani dengan hati terima kasih alanan solo sampai jumpa lain kali,KOMPETITOR,Bintang 4,TheAlana,positive,Kebersihan & Kenyamanan Kamar
Devano Gihon official,2025,5,sangat memuaskan pelayanannya dari mulai cek masuk sarapan dan cek keluar makanan enak banget jdi mau kembali lagi ke alana pelayan restonya ramah rendah hati terimakasih kak dewi senang bertemu denganmu dan besar terima kasih untuk hotel alana pertahankan kualitasnya,KOMPETITOR,Bintang 4,TheAlana,positive,Pelayanan Staf & Keramahan
