User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
Rafael Pastria,2025,5,dua hari menginap di hotel ini saya ras cukup bagus kamar yang cukup luas kasur yang empuk bikin nyaman dan pendingin ruangan untuk menghilangkan panas menu sarapan yang bervariasi dengan rasa yang enak pelayanan yang ramah bagi semua tamu cekout dibantu oleh mas ezii,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Kebersihan & Kenyamanan Kamar
Fadillah Pratama,2025,5,pelayanannya ramah lokasinya strategis kamar sama kamar mandinya juga bersih dan wangi linennya segar tidak nyesel kalau menginap disini terima kasih mas yusuf atas pelayanannya selanjutnya akan ngajak keluarga buat nginep sih,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Kebersihan & Kenyamanan Kamar
hadi massyahid,2025,5,hotel nyaman buat istirahat kamar dan kamar mandinya bersih stafnya ramah baik sopan juga yang terbaik lah petugas kamar yang bernama mas yusuf juga membantu banget top lah terima kasih buat mas yusuf atas pelayananny,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Kebersihan & Kenyamanan Kamar
fika hapsah,2025,5,saya sangat puas dengan pengalaman menginap di hotel ini kamarnya bersih rapi dan terasa nyaman sejak pertama kali masuk kamar mandinya juga sangat bersih perlengkapannya lengkap dan udara panas berfungsi dengan baik sangat disarankan bagi yang mengutamakan kebersihan dan kenyamanan selama menginap terima kasih harper,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Kebersihan & Kenyamanan Kamar
Widya Selia Rizki,2025,5,pelayanan dan fasilitas sangat nyaman makanan direstaurant nya enak enak bangett rekomend banget tq juga buat mba cs mba sherly yang sangat ramahh semuanya baik-baik saja,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Kualitas Makanan & Restoran
EL,2025,5,bersih dan oke banget pelayanannya mulai dari cek masuk sarapan sampai cek keluar lancar terima kasih mba sherly jg yang membantu kita merekomendasikan,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Pelayanan Staf & Keramahan
Muhammad Raldo,2025,5,menginap disini nyaman banget sih lokasinya strategis kamarnya juga rapih serta kamar mandinya bersih stafnya juga ngebantu banget terimakasih mas yusuf akan kembali lagi ke sini sii,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Kebersihan & Kenyamanan Kamar
ale ale,2025,5,Lokasinya strategis dan kamarnya nyaman sebelah kamar berisik terdengar sampai ke kamar saya tapi setelah saya mengeluh ke resepsionis langsung di tangani dengan baik dan tidak berisik lagi untuk menu sarapan juga variatif dan rasa enak terimakasih atas pelayanannya resepsionis yang responsifnya mba dan,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Kebersihan & Kenyamanan Kamar
Bobby Heryunda,2025,1,Tidak pernah mendengar nama hotel ini sebelumnya meskipun saya tinggal di Jakarta karena saudara menikah di HK Tower kami menyarankan Anda untuk buku kamar di hotel ini total 30 kamar kebayang kan gimana riwehnya persiapan hampir 100 orang keluarga untuk resepsi jadi kami meminta pihak hotel supaya setidaknya 2 3 kamar dari 30 kamar yang sudah kami bayar bulan diizinkan untuk cek masuk awal dari jam 11 dan lewat cek keluar jam 2 terutamq untuk para lansia dan yang dari luar kota hasilnya ditolak mentah oleh pihak hotel ada saudara yang katanya memiliki akses ke manajemen hotel pun tetap tidak ditolak sehingga anggota keluarga tidakumpuk di lobi,BUMN,Bintang 3,HarperJakartaMTHaryono,negative,Harga & Value for Money
Siti Maulidya,2025,5,hotel nya bagus kamar dan kamar mandi sangat bersih dan wangi sangat nyaman karna kebersihan cukup terjaga untuk stafnya pun ramah sekali sangat rekomendasi untuk liburan maupun perjalanan bisnis,BUMN,Bintang 3,HarperJakartaMTHaryono,positive,Kebersihan & Kenyamanan Kamar
