User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
Jennifer Calida,2025,1,air panas tidak ada alasan cuma hotel sedang penuh untuk mandi saja menunggu 1 jam lebih cuma buat benerin air panas tidak ada kejelasan sama sekali telepon resepsionis sampai 3 kali cuma untuk konfirmasi kapan ada air panas jika lagi musim tinggi memperbaiki jangan ke sini deh mereka sepertinya tidak siap jika kondisi penuh kapasitas parah banget karyawannya juga sangat tidak sopan saya tanya sampai kapan harus menunggu kepastian air panasnya siap dan tanya juga apa yang harus menunggu sampai mandi jam 12 malam hanya untuk malah dijawab silahkan tunggu sampai jam 12 ya kalau begitu pelanggan sudah menunggu dari setengah 10 malam sampai jam 11 malam tidak ada kepastian tidak,BUMN,Bintang 3,LafayetteHotel,negative,Pelayanan Staf & Keramahan
Emanuelle Natasha,2025,4,petugas hotel cukup ramah dan membantu terutama bagian concierge valet parkir nya nginap semalam cek keluar hari Selasa biasa sempat permintaan telat cek keluar jam 12:30 namun diberi sampai 12 15 saja karena alasan lengkap akses ke hotel harus masuk dari lajur paling kiri ring road jika kelewatan bisa muter lewat gang kecil di belakang hotelnya tidak ada tas cuci dalam kamar malah ada timbangan badan,BUMN,Bintang 3,LafayetteHotel,positive,Pelayanan Staf & Keramahan
ari kusuma yudha,2025,5,menginap di hotel butik lafayette benar benar pengalaman yang berkesan suasananya tenang kamarnya nyaman dan setiap sudut hotel terasa elegan stafnya sangat sopan dan sigap membantu suka banget sama pemandangan dari atap kolam renang nya romantis banget di malam hari pasti akan kembali lagi jika ke jogja,BUMN,Bintang 3,LafayetteHotel,positive,Kebersihan & Kenyamanan Kamar
Kristanto 0910,2025,2,saya menginap dari tanggal 5 s d 10 Oktober 2025 sebenarnya secara bangunan dan fasilitas bagus sekali gaya eropa tapi pelayanan perlu ditingkatkan keramahan dan kesopanan dan juga kecepatan ada 1 hal yang saya garis bawahi yaitu sarapan di lantai sf di dekat tombol lift jelas sekali tidak merokok dengan lambang rokok dicoret tapi baru rokoknya luar biasa bahkan sampai tercium di daerah kolam renang yang terbuka untungnya saya tidak mengambil termasuk dengan sarapan karena waktu saya mengambil minuman selamat datang sesak sekali nafas karena asap rokok mohon dipertimbangkan lagi untuk kesehatan tamu jadi tidak semuanya perokok kesannya ruangan yang tidak terlalu besar jadi pena,BUMN,Bintang 3,LafayetteHotel,negative,Pelayanan Staf & Keramahan
Davis Yonathan,2025,5,bagus banget staf juga melayani sangat baik makanan disini juga enak dari segi harga sangat berharga dengan kualitas yang diberikan meskipun di hari2 tertentu harga naik tetap berharga kok cuman gym saja sih yang aga kecil tapi ini kasus per kasus saja ada orang yang suka gym kaya saya jadi membutuhkan ruang terima kasih atas layanan yang sangat baik,BUMN,Bintang 3,LafayetteHotel,positive,Pelayanan Staf & Keramahan
Galuh Sari,2025,5,bener bener kaget tiba tiba dijemput dikasih surprise birthday kesini tempatnya bener2 romantis buat makan malam selain nyaman makanannya enak kita juga bisa ngobrol santai sambil menikmati masuk kota cahaya ringroad makin romantis bukan wkwk kalian wajib coba sih makan malam disini bersama pasangan huhu jujur ini momen terindah selama tinggal dijogja terima kasih sayangku terima kasih lavayette,BUMN,Bintang 3,LafayetteHotel,positive,Kualitas Makanan & Restoran
alkana enterprise,2025,5,lokasi lumayan strategis kamar dan toilet bersih kamarnya wangi banget ac dingin menginap 1 malam saat hari ulang tahun berujung diberikan kartu ucapan dan kue ulang tahun juga selamat minum diberikan di restoran bisa diambil sampai malam hari kolam renang bersih disediakan handuk ruang bilas jg bersih sarapan menu pagi nya sedikit resto nya juga kecil saat memeriksa ternyata ada barang kami yang tertinggal di kamar pihak hotel langsung menghubungi via wa dan akhirnya barang bisa kami ambil kembali terimakasih ya lafayette,BUMN,Bintang 3,LafayetteHotel,positive,Kebersihan & Kenyamanan Kamar
Ch Junior,2025,1,hari ini cekin dikasih kamar lt 4 saat naik ke kamar kondisi kamar tidak di kunci seperti tidak siap laci laci kebuka satu satu berantakan kaya habis digeledah kamarnya kamar belum siap kok bisa dikasih ke tamu,BUMN,Bintang 3,LafayetteHotel,negative,Infrastruktur (AC/WiFi/Parkir/Air)
Arif Widiyanto,2025,1,mohon maaf untuk kamar dan layanan saya anggap sangat bagus minusnya dari hotel ini adalah lahan parkir sempit serta keamanan yang mengarahkan untuk parkir terlalu memaksa memenuhi deretan parkir yang belum terisi mobil padahal sisi lain parkir masih kosong banget berikutnya kedepannya jangan terlalu memaksakan pengunjung untuk parkir memenuhi kuota kecuali memang tidak ada pilihan tempat parkir lain jujur kecewa dengan peristiwa yang menimpa keluarga saya,BUMN,Bintang 3,LafayetteHotel,negative,Kebersihan & Kenyamanan Kamar
Noviana Syahidatin,2025,5,Salah satu hotel terbaik di yogyakarta pelayanan cepat dan ramah fasilitas memuaskan dan sangat nyaman dapat voucher selamat minum dan cemilan gratis di kamar di sore hari dapat gratis kue lokasi strategis di ring road utara jogja,BUMN,Bintang 3,LafayetteHotel,positive,Pelayanan Staf & Keramahan
Upit upit,2025,5,Hotel terbaik banget buat budget segitu kamarnya luas bagus cantik bersih ada bak mandi air panas mantap kolam renang layanan juga bagus ramah membantu staf lokasi juga oke deket mau kemana2 sudah punya saya tinggal kedua di sini pasti dan mudah daftar pertama jika mau menginap di jogja,BUMN,Bintang 3,LafayetteHotel,positive,Kebersihan & Kenyamanan Kamar
jenita rusli,2025,5,Suka banget sama hotel ini bikin kangen untuk kembali menginap disini dekornya bagus kamarnya mewah setiap sudut memberi kesan makanan romantis di resto juga oke,BUMN,Bintang 3,LafayetteHotel,positive,Kualitas Makanan & Restoran
Hendra Wijayanto,2025,5,hotelnya bagus desain kamar sangat bagus dan bersih pelayanan juga bagus hanya saja tempat gym kurang tepat terlalu kecil dan tidak lengkap itu saja kekurangannya untuk sarapan oke meskipun variasinya kurang lengkap,BUMN,Bintang 3,LafayetteHotel,positive,Kebersihan & Kenyamanan Kamar
nururu f,2025,1,parkir sempit repot harus ke lapangan sebelah ingin keluar masuk hotel harus ke lapangan sebelah keamanan sore parkir tidak mengarahkan dn mengawal parkir dengan baik jika sudah ada iklan tidak bertanggung jawab dan menyudutkan pengunjung tidak akan lagi menginap disni makanan biasa saja resto pengaturan meja kursinya jg sempit tidak nyaman maaf tidak maaf lafayette joga,BUMN,Bintang 3,LafayetteHotel,negative,Kualitas Makanan & Restoran
Winda Munandari,2025,1,Sikap buruk untuk 2 resepsionis tanggal 26 Oktober malam candra sandy melayani dengan ketus sama sekali tidak ramah tidak membantu saya minta bicara dengan tugas manajer tidak menjawab sarapan variasi sedikit linen ada bercak2 hitam kamar mandi kebersihan kurang saya tidak akan lagi merekomendasikan hotel ini untuk rekan rekan saya rekan saya,BUMN,Bintang 3,LafayetteHotel,negative,Fasilitas Hotel (Kolam/Gym/Spa)
hardi setyawan,2025,5,hotel yang nyaman tenang dan mewah pelayanan dan kamar sangat baik sarapan juga enak dan cukup banyak pilihan kami sangat senang dan nyaman menginap di sini,BUMN,Bintang 3,LafayetteHotel,positive,Kualitas Makanan & Restoran
husni mubarok,2025,5,hotel nyaman pelayanan baik parkiran yang kecil hotel menyediakan parkir gratis valet saat parkiran saat kondisi parkiran penuh menurut satpam hotel punya garasi yang jaraknya 500 meter dari hotel,BUMN,Bintang 3,LafayetteHotel,positive,Infrastruktur (AC/WiFi/Parkir/Air)
Aas Nurhasanah,2025,5,hotelnya bersih banget interior keren september handuk bantal semuanya sangat bersih pelayanan karyawanan oke cepat tanggap ramah kafeenya keren dari kamar bisa lihat matahari terbit dari kafe bisa lihat matahari terbenam mantap banget tidur 2 hari di hotel ini tidak ngebosenin di tambah dengan hiasan bunga2 yang cantik sangat2 sayangnya kami salah memesan jumlah hari seharusnya 3 hari salah ketik malah 2 hari jadi hari ketiga harus pindah hotel huhuhuhu,BUMN,Bintang 3,LafayetteHotel,positive,Kebersihan & Kenyamanan Kamar
Elsa Hanipah,2025,5,jatuh cinta sama hotelnya klo ke jogja pasti nanti nginep disini dan terbaik ya kemarin aku datang jam 1 dan tidak berharap ternyata ada kamar yang tersedia dan langsung bisa cek masuk pokoknya bagus banget deh hehehehe,BUMN,Bintang 3,LafayetteHotel,positive,Lokasi & Akses Strategis
Samiyem 5mei52,2025,2,kamar hotelnya sih oke bersih nyaman dan okelah sekelas hotel eropa ala ala tapi yang bikin kecewa resepsi nya karna tidak ramahh bgtt tolong deh resepsi nya lebih di ajarin gmn cara ramah ke pengunjung hotel sayang kan hotelnya oke banget kualitas juga okee tapi pelayanan dari resepsi tidak banget smoga bsa lebih di tingkat masuk saja deh,BUMN,Bintang 3,LafayetteHotel,negative,Kebersihan & Kenyamanan Kamar
desi Imelda Putri,2025,5,bagus banget hotel tercantik hotel bintang 4 rasa bintang 5 hotel nya nyaman wangi minus nya saya malem2 denger orang lagi hb kedengeran lagi ngedesah apa tidak ada peredam suara nya,BUMN,Bintang 3,LafayetteHotel,positive,Kebersihan & Kenyamanan Kamar
Tri Astuty,2025,5,Hotel yang keren banget dari a ke z akan menginap di sini lagi kalau ke jogja pelayanan super ramah keamanan yang gercep membantu kolam renang di atap kamar super bersih rileks dengan mandi mengisi ulang cemilan setiap hari pokoknya hotel yang sangat luar biasa dengan harga yang terjangkau baik dilakukan laffayette hotel terima kasih atas keramahan Anda,BUMN,Bintang 3,LafayetteHotel,positive,Kebersihan & Kenyamanan Kamar
Alex Cristo,2025,1,staf resepsionis kurang ramah dan perlu di didik kembali dalam melayani tamu cek masuk maupun cek keluar budayakan senyum dan ramah apa lagi hotel bintang 4 bukan hotel bintang 1 kan sama sambutan minum dan cemilan nya perlu di cek kualitas nya masa iya sekelas lafayette kasih makanan yang sudah kena angin rasanya mlempem,BUMN,Bintang 3,LafayetteHotel,negative,Pelayanan Staf & Keramahan
Andari HS,2025,5,Hotel cantik ini bersih kamarnya suka sekali cm parkirnya sempit tapi lebih keren,BUMN,Bintang 3,LafayetteHotel,positive,Kebersihan & Kenyamanan Kamar
Aiko Roselle,2025,5,kamarnya keren banget cocok untuk pasangan kamar luas kamar mandi juga luas dan bersih terlihat mewah cocok untuk yang liburan sambil menikmati fasilitas hotel hanya saja tempat parkir terbatas jadi agak sulit untuk parkir tapi pihak hotel sangat ramah dan cepat tanggap jadi di bantu untuk parkir lembah keren oh iya sarapan nya juga sangat bervariasi enak dan berbeda setiap harinya restoran ada dilantai paling atas jadi bisa sambil melihat kota view jogja gunung yang kuep tidak perlu mengambil fasilitas kamar termasuk sarapan,BUMN,Bintang 3,LafayetteHotel,positive,Kebersihan & Kenyamanan Kamar
Aulyra Nabila,2025,5,Hotel nya nyaman konsep nya Eropa klasik gitu beda dari yang lain buat foto pun kuep poll untuk harga nya juga lumayan terjangkau bisa nih untuk menginap bersama keluarga pasangan kalian,BUMN,Bintang 3,LafayetteHotel,positive,Harga & Value for Money
Mega Rahim,2025,5,Sangat nyaman terbantu banget sama smua staf nyaa dari resepsionis staf resto semua baikk baikk semua terima kasih banyaak disni kemana manaa dekatt ke malioboro ke pasar membawaharjo dekat semua naik tangkap enak banget,BUMN,Bintang 3,LafayetteHotel,positive,Pelayanan Staf & Keramahan
djemi ferdinandus,2025,4,kelebihan lokasinya cukup bagus bangunan utama lobi interior dan lorong2nya sangat bagus menu sarapan jg enak atap kolam renang nya juga bagus kekurangan kamar cukup berdebu entah dari mana debunya cukup mengganggu kami bbrp bagian kamar juga sudah rusak jelek seperti kusen kamar mandi lemari yang retak tirai kamar mandi rusak sudah seharusnya direnov atau diganti demikian review jujur dari kami semoga bermanfaat,BUMN,Bintang 3,LafayetteHotel,negative,Fasilitas Hotel (Kolam/Gym/Spa)
