User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
F S,2025.0,3,Hotel besar dengan pemandangan yang nyaman lokasi adalah strategis bersih parkir yang tersedia keamanan yang berguna pemandangan dan suasana yang baik makanan sarapan staf tidak responsif ketika saya memeriksa masuk dan pergi ke kamar saya tidak ada sepatu handuk dan fasilitas kamar kosong hanya meminta untuk resepsi dan datang ke lobi tetapi setelah lebih dari jam masih belum datang saya meminta untuk mengubah kamar saya dengan pemandangan dan staf meminta semua kamar dipesan saya meminta untuk diperiksa ulang dua kali ketiga setelah kamar itu tersedia tetapi untuk kelas tertinggi lol saya mengatakan tidak ada masalah saya mengambil kamar itu setelah drama saya pindah ke kamar lain fasilitas gym fasilitas banyak peralatan,BUMN,Bintang 4,GoldenTulipJineng,negative,Lokasi & Akses Strategis
yohanes Kusumo,2025.0,1,tinggal di family suite dari des 10 15 2025 kamar 215 malam pertama tidak ada masalah kedua 3rd malam terganggu suara dari ballroom yang berada di bawah kamar hingga bergetar setelah jam 10 malam di malam kedua dan jam 00 30 di malam ketiga keesokan harinya pihak hotel memindahkan kami ke kamar 501 dengan tipe yang sama serah terima sekitar jam 14 30 lalu kami pergi kembali ke kamar jam sekitar jam 22 00 namun kamar tidak dingin menelepon front desk dan tidak lama teknisi datang sekitar jam 23 00 untuk reset acjung dingin dan diminta tggu 30 menit 00 12 ac tidak kun untuk jam dan lapor ke front,BUMN,Bintang 4,GoldenTulipJineng,negative,Kebersihan & Kenyamanan Kamar
Nabilah Novel,2025.0,5,Hotel ini bisa dengan mudah menjadi favorit saya tidak ada yang negatif saya bisa menyebutkan tentang hotel ini pertama kamarnya luas nyaman dan pemandangan sangat baik gym dan kolam renang adalah benar-benar hal-hal yang tidak ingin Anda melewatkan menu sarapan luar biasa mereka bahkan melayani permintaan khusus kami untuk makanan untuk dibawa ke kamar kami karena salah satu dari kita sakit ada bantuan medis disediakan masuk kasus seseorang sakit semua adalah level atas pasti di atas daftar saya layanan ceri di atas,BUMN,Bintang 4,GoldenTulipJineng,positive,Fasilitas Hotel (Kolam/Gym/Spa)
Vinay Kondalkar,2025.0,5,memiliki tinggal yang hebat di hotel kamar-kamar itu bersih luas dan nyaman staf sangat ramah dan membantu sepanjang kunjungan kami khusus terima kasih kepada mr asta dan miss bella di meja resepsi untuk keramahan hangat mereka dan bantuan cepat dengan pertanyaan kami menu restoran juga memiliki pilihan yang baik untuk orang-orang India yang kami benar-benar menghargai secara keseluruhan pengalaman yang menyenangkan sangat merekomendasikan tempat ini,BUMN,Bintang 4,GoldenTulipJineng,positive,Kebersihan & Kenyamanan Kamar
g h,2025.0,5,Golden Tulip Jineng Resort adalah permata mutlak Golden Tulip Jineng Resort hanya ingat nama ini untuk hotel terbaik masuk Bali staf di seluruh hotel sangat ramah dan selalu siap membantu dari saat kami memeriksa masuk ke resort terutama Bella Ardana diva andre dan begitu banyak lupa nama beberapa staf tetapi semua staf baik mereka selalu menyapa dan tersenyum pada kami kamar kami sangat luas tanpa noda dan dilengkapi dengan semua yang penting dan dengan pemandangan kolam renang yang fantastis dari balkon kami menyukai makanan lezat terutama bu segar,BUMN,Bintang 4,GoldenTulipJineng,positive,Pelayanan Staf & Keramahan
Aravind Balachandran,2025.0,5,Aku tinggal di tulip jineng dari 1 sampai 5 Oktober 2025 masuk kamar 215 dengan keluarga saya itu benar-benar pengalaman yang luar biasa sarapan luar biasa dan malam makan malam dengan santai musik langsung menciptakan suasana yang sempurna kamar-kamar itu sempurna dan staf yang sangat baik dan ramah sebutan khusus untuk juli yang keramahan hangat membuat kita menginap lebih berkesan ibu saya terutama menghargai keramahan dan perawatan nya secara keseluruhan menginap yang menyenangkan sangat direkomendasikan aravind,BUMN,Bintang 4,GoldenTulipJineng,positive,Pelayanan Staf & Keramahan
cyntya mitha,2025.0,2,Dear Golden Tulip sebagai resor mewah masuk jantung kota saya benar-benar tidak mengharapkan pengalaman yang terasa lebih dekat ke satu bintang tinggal cukup prestasi untuk properti tingkat Anda apakah itu benar-benar bahwa sulit bagi tim Anda untuk menawarkan sebuah permintaan maaf sederhana untuk menugaskan kami kamar seperti nomor 350 kami tinggal hanya satu malam dan memeriksa masuk pada jam 8 malam namun masuk bahkan dalam waktu singkat kami berhasil menemukan 1 cahaya yang menetes dan membuat suara listrik yang mengkhawatirkan 2 AC yang jelas tidak mendinginkan dengan mudah dibandingkan dengan kamar pengganti tepat di sebelahnya 3 sebuah trek,BUMN,Bintang 4,GoldenTulipJineng,positive,Lokasi & Akses Strategis
Griya Paris,2025.0,2,Sepangjang menginap di hotel ternama baru kali ini banyak kecewa sama pelayanan nya kita datang sudah sore jam 15 jam 30 katakan kamar masih double check sampai jam 4 lebih lagi lagi rombongan datang jam 5 sore dan masih sama juga harus menunggu lama sampai di kamar sandal tangan dll pada gag ada gag akan aku ulangi lagi tinggal di sini ketika di bali mana disini 3 hari lagi nyesel weww,BUMN,Bintang 4,GoldenTulipJineng,negative,Pelayanan Staf & Keramahan
Alam Inder Singh Bhatia,2025.0,5,Kami memiliki menginap yang luar biasa di hotel ini dari saat kami tiba staf lobi menyambut kami hangat dan membuat kami merasa selamat datang tim resepsi selalu siap untuk membantu dengan apa pun yang kami butuhkan dapur dan kolam renang staf adalah fantastis dan makanan sangat baik tim pembersihan melakukan pekerjaan yang luar biasa menjaga kamar kami tanpa cacat sepanjang kita tinggal kami juga terkejut dengan menyenangkan ketika staf pergi di atas dan di luar untuk memberikan barang dan layanan tambahan yang bahkan tidak termasuk masuk paket kami gerakan yang bijaksana seperti itu sebutan khusus untuk Julie yang membuat waktu sarapan kami ekstra khusus setiap hari dengan sifatnya yang ramah dan atten,BUMN,Bintang 4,GoldenTulipJineng,positive,Fasilitas Hotel (Kolam/Gym/Spa)
Ikon Sauki,2025.0,5,Golden Tulip Jineng Resort Bali memiliki lokasi yang strategis dan mudah dijangkau Suasananya tenang tapi tetap dekat dengan area ramai bangunannya modern dengan sentuhan khas Bali yang bikin nyaman sejak pertama datang area hotel terlihat bersih dan terawat lobi luas dan enak buat menunggu atau santai kamar cukup lega dengan pencahayaan bagus ac dingin tempat tidur empuk dan kamar mandi bersih sehingga istirahat terasa maksimum fasilitas seperti kolam renang dan area umum tertata rapi dan bisa dinikmati dengan nyaman pelayanan staf ramah sigap dan komunikatif sehingga proses pemeriksaan masuk sampai kebutuhan menginap terasa terasa secara keseluruhan pengalaman menginap di sini menyenangkan dan sepadan dengan harga menginap,BUMN,Bintang 4,GoldenTulipJineng,positive,Lokasi & Akses Strategis
