User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
Devi Nurhasanah,2025,5,Aloft hotel wahid hasyim kamar oke bersih fasilitas kamar lengkap disediakan setrikaan dan meja untuk setrika pakaian mantapp lokasi stategis dekat pusat kota pelayanan super ramah saat checkout sudah di ingatkan dipastikan tidak ada barang tertinggal udah yakin kalau barang semua aman ternyata baru engeh ketinggalan cincin yang sempet dilepas sebelum tidur omg lgsng gercep kontek via call info kalau ada brg ketinggalan dan minta bantuan housekeeping untuk cek alhamdulillah aman dan akhirnya lg balik untuk pickup terasih banyak staf hotel aloft wahid hasimak pelayim pertahankan,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Desy Sulistyaningrum,2025,5,menginap di sini sangat cocok untuk mereka yang ingin kuliner banyak banget tempat makan yang dekat kami seringnya cukup jalan kaki karena di sepanjang jalan banyaak tempat makan mau kelas atas sampai kaki lima bisa dikatakan hotel ini ramah lingkungan mulai dari sabun sampo udara minum semua pakai yang bisa diisi ulang tidak menggunakan udara sekali pakai air yang disediakan kemasan kaca yang wadahnya bisa dipakai ulang disediakan isi isi air disediakan sepeda juga tempat sampah disediakan dengan terpisah untuk sampah plastik dll wadah anorganik dan juga basah organik,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Arif Budi Prasetyo,2025,4,Kamar bersih dan cukup lengkap hanya cukup sempit untuk hotel bintang 4 beberapa pelayan cukup ramah hanya sedikit yang kurang tersenyum sarapan cukup lengkap dengan varian nusantara yang secara mengejutkan cukup enak rasanya jika dibandingkan dengan hotel lain,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Faustine Gunawan,2025,5,kalau ada bintang 10 aku kasih bintang 10 semua ada dari mesin es colokan disetiap meja kursi nyaman buat kerja mengisi ulang posisi udara di tengah kota saat mana mana mudah banyak makanan disekitar sarapan banyak banget menu makanannya jus segar jamu sampai kopi respon staf nya juga cepat amat membantu bahkan bantu untuk mencari jalan agar enggak kena ganjil bahkan staf di tempat sarapan benar ramah selalu bertanya apa yang dibutuhkan lagi tidak,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Pelayanan Staf & Keramahan
reza fauziah,2025,2,Saya menghubungi pihak hotel untuk keperluan pemesanan ruang pertemuan namun saya merasa proses komunikasi belum berjalan optimal respon yang diberikan cukup lambat sehingga saya perlu melakukan tindak lanjut beberapa kali sebelum mendapatkan jawaban informasi yang disampaikan juga masih terbatas dan kurang jelas saya berharap pihak hotel dapat meningkatkan kejelasan informasi serta ketepatan waktu dalam merespons agar proses koordinasi dapat berjalan lebih efektif dan profesional saya yakin dengan perbaikan tersebut pelayanan akan jauh lebih baik dan dapat mendukung pengalaman pelanggan dengan lebih positif terimakasih,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Harga & Value for Money
Ivaldy Gesca Deandra,2025,5,fasilitas untuk pertemuan sangat memuaskan kebetulan kesini lunchnya bertemakan masakan padang dan beberapa variasi lain cukup rindu dengan gaya masakan sunda dan petenya,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kualitas Makanan & Restoran
kasamemo,2025,3,makasi yaa satpamnya ramah bangett buat yang lagi jalan kakii kesel saja padahal gw papasan dan gw berusaha sadar ke dia karena yang gw tau alot tu staf nya ramah ramahh dua satpam tuh melotot saja hehe bahkan kek nganggep gw gaada apa karna gw jalan kaki ya pakai seragam tas punggung dan bawa minuman dari luar gembel kali ya tapi gpp mood kembali baik saat masuk pengecekan tas dan lgsg disambut staf lain di mo ke ruang apa tengsin saja gw ramah haha pertahanin buat yang yang keren yaa bgtt yang ramah ke semua yang ada di di,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Pelayanan Staf & Keramahan
antung rj,2025,5,kamar bersih nyaman tenang 4 5 sarapan enak variatif asia barat 5 5 lokasi strategis di pusat kota bisnis transportasi umum mudah dan tempat kuliner 5 5,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Layung Violeta,2025,5,sangat senang sekali tinggal di atas wahid hasyim hospitalitynya bagus hotelnya nyaman bersih dan terasa sangat rumah bagi stafnya nya ramah dan sangat membantu salah satu pengalaman saya dibantu oleh tim itu bp henry saat saya ingin terkoneksi ke wifi hotel dan satu lagi perjalanan bisnis saya berjalan lancar karena saya bisa melakukan aktifitas pekerjaan dengan koneksi internet yang luar biasa cepat dan tanpa buffer sekali lagi akan kembali ke hotel ini terima kasih atas dan untuk stafnya,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Kebersihan & Kenyamanan Kamar
Lerry Tutu,2025,5,hotelnya oke pelayanannya apalagi stafnya friendly kopi dan jus boleh ambil dari tempat sarapan ke kamar barang ketinggalan resepsiis gercep bantu gosend trims,KOMPETITOR,Bintang 3,AloftJakartaWahidHasyim,positive,Pelayanan Staf & Keramahan
