User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
kcx project2,2025,5,sudah 2x menginap di sini pelayanan staf masih sama baiknya selalu tanggap dan ramah kepada tamu menu sarapan variatif dan enak fasilitas gym n kolam renang ada walau di gedung berbeda cuma ada yang sedikit mengganggu ketika masuk kamar posisi listrik mati begitu buka pintu pasti aroma pembuangan saluran udara tercium sangat menyengat kamar saya dilantai 10 nomor 5 mohon untuk diperbaiki jika saya sih aman saja yang penting aroma itu sendiri setelah ac dinyalakan tapi saya yakin tamu tamu berikutnya nanti suatu saat akan komplain masalah aroma menyengat ini,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Pelayanan Staf & Keramahan
Layla Nugraha,2025,5,hotel yang layaknya dekat dengan pusat belanja tanah abang dan thamrin kota harga oke fasilitas oke staf ramah cepat dan tanggap dalam melayani permintaan saya minta dibawain besi tidak sampai 5 menit langsung datang ramah mas nya sampai nanya ada yang bisa membantu lagi tidak 5 bintang top terima kasih mas evan kamar bersih juga cukup luas lah sesuai harga direkomendasikan pokoknya,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Kebersihan & Kenyamanan Kamar
ashary muh,2025,5,menu makanan enak banyak pilihan dan berubah rotasi menu disetiap harinya jadi tidak membosankan kamar tidur oke trimakasih banyak mbak salsa atas pelayan ramah dan sangat membantu saat di restoran kalau ke jakarta jangan lupa nginap di hotel ibis gaya jakarta tanah abang,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Pelayanan Staf & Keramahan
Ruru Kim,2025,5,Suka banget sama pelayanan para stafnya ramah dan responsif terutama sama miss astrid cekatan dan teliti sekali saat bantu bereskan kamar dan bersih pekerjaannya peka juga dengan hal yang cust butuhin terima kasih miss astrid dan staf lain,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Pelayanan Staf & Keramahan
Nurul Huda Mulyawati,2025,5,selama menginap di ibis style jakarta tanah abang nyaman sekali dengan pelayanannya lokasinya yang strategis proses cek masuk yang cepat dibantu mba nabila tim hotel sungguh murah senyum dan ramah tidak segan untuk sigap membantu di kamar tidur yang luas lantai dan perlengkapan tidur yang bersih oia di kamar hotel hening sekali cocok untuk istirahat kamar mandi yang wangi dan lantainya cepat kering sarapan yang enak sertu menu yang beragam tentu saja ada anak-anak menu pojoknya nugget homemade enakk oia terima kasih juga untuk mba dhipta karena sudah menemani putri saya saya saya mengingatkan saya ucapkan terima kasih untuk pengalaman menyenangkan menginap,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Pelayanan Staf & Keramahan
Mutiarasari Syah,2025,5,kolam renangnya besar keren dan nyaman lalu saya di antar dan didampingi oleh ka septi baik sekali membantu anak2 dan rendah hati sekali sukses gaya ibis,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Fasilitas Hotel (Kolam/Gym/Spa)
Candra Halim Ong,2025,3,kamar terlalu sempit untuk ukuran hotel berbintang 4 makanan kurang variasi untung tertolong oleh pelayanan yang sangat baik staf juga ramah sangat banyak membantu,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Pelayanan Staf & Keramahan
niko saputra,2025,5,sarapannya enak menu nya jga banyak pelayanannya sgt ramah dan cekatan kamarnya nyaman bersih dan housekeepingnya mas rizal sangat peka sekali dan membantu saya memindahkan koper saya sangat puas dengan pelayanannya yang sgt baik sukses sll mas rizal,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Kebersihan & Kenyamanan Kamar
Krisna Vidya,2025,5,sarapannya variatif ada menu untuk anak anak di anak sudut enak enak semuanya terutama mac n keju kami sekeluarga dibantu oleh mba hanifah untuk mengatur meja ber 6 terima kasih mba hanifah,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Pelayanan Staf & Keramahan
Metanucci Hubbia,2025,5,sudah ke beberapa kali menginap di ibis style tanah abang layanan nya luar biasa baiknya terutama kak dhipta yang siap nemenin anak anak main di anak sudut kamar bersih tidak ada bau aneh atau tidak enak sarapan lengkap banget jenisnya anak sudutnya bener bener bikin anak betah ambiance nya keluarga ramah banget dan di kamar ada guling jarang banget hotel ada gulingnya,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Kebersihan & Kenyamanan Kamar
Rizky Amalia N Aini,2025,5,baru kali pertama menginap di hotelnya rapi banget warna warni jogging ke monas deket makanannya enak banget pelayanan kamar nya juga cepat banget terima kasih mbak astrid bagian cuci yang ramah banget syuka banget sama parfum cuci next ke jakarta kayake bakal pasti ngnep disini lagi,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Kebersihan & Kenyamanan Kamar
Kirana Nurnovianti,2025,4,sarapannya oke makannya kurang isi jika habis cukup varian enak ada tempat permainan dan main anak anak anak ramah drh,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Kualitas Makanan & Restoran
Hanif Andi,2025,5,kamar nya bagus sekali ya sangat mengakomodir kebutuhan saya selama menginap di sini ya setara sama hotel 5 bintang yang lain kebutuhan dasar sudah tersedia di kamar sarapan nya menu nya enak2 yang paling aku suka disini sauted krim jamur nya enak banget lokasi nya juga strategis sekali ya deket sama kantor ku juga dan akses ke beberapa tempat daerah yang banyak kuliner nya juga dekat ya sarapan nya ada indoor dan outdoornya untuk merokok pelayanannya juga top semua staf nya ramah2 semua dan sangat membantu ketika kita meminta bantuan apapun,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Lokasi & Akses Strategis
Alifa Ratu Tria,2025,5,Pelayanannya bagus kamar nya juga nyaman membuat menu sarapan sama makan malemnya juga banyak dan enak enak pelayanan disini sangat ramah disini ada mbak chika yang selalu membantu,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Kebersihan & Kenyamanan Kamar
Novia Iskandar,2025,5,makanan nya enak banget ruangannya bersih ada tempat utama buat anak layanan mba dhipta sangat membantu kami apalagi saya yang membawa anak mba dhipta mau menemani ngajak ngobrol anak saya,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Kebersihan & Kenyamanan Kamar
rabiatul adawiyah,2025,5,lokasi strategis dan dekat dengan kantor sudirman kamar bersih dan nyaman aku suka kamar baru luas walau cuma aku sndiri buat aku sih sih layak banget untuk prjlnn bisnis dan staf nya ramah ada musik live nya klo malam jadi aku ckup mnikmati istrht di hotel dengan hiburan smbil makan malam asik tidak tuhh tidak jauh2 untuk menikmati musik live karena di hotel sudah tersedia,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Kebersihan & Kenyamanan Kamar
Iony Suprayogi Official,2025,5,kamar nya nyaman sarapan juga menu nya enak2 kak pelayan yang namanya kak dhipta juga ramah banget sangat membantu dianjurkan sekali nginap di sini,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Kebersihan & Kenyamanan Kamar
awal nurjamil,2025,5,layanan nya luar biasa kebetulan saat lagi menginap di sini saya sakit di bantu dianterin ke rumah sakit layanan yang bagus terus saat lagi sarapan juga saya di layanin mba hanifah buat ambil makanan minuman mantap pokoknyaa dan satu lagi harganya terjangkau banget nginep di sini cuci pakaian nya juga wangi banget,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Kebersihan & Kenyamanan Kamar
Billy Jah,2025,5,hotel ibis style menawarkan pengalaman menginap yang modern dan nyaman kamarnya bersih rapi dan gaya fasilitas lengkap staf ramah dan sigap membantu suasana hangat dan lokasi strategis membuatnya cocok untuk bisnis maupun liburan,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Kebersihan & Kenyamanan Kamar
Koji Kojiro,2025,5,hotel nya nyaman pelayanan nya ramah banget staf housekeepingnya ramah baik enak diajak ngobrol rendah hati terima kasih mas iqbal sudah bikin kamar saya seperti baru lagi bersih wangi dan rapi,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Kebersihan & Kenyamanan Kamar
Iza Milla,2025,5,makanan kat mari sangat sangat sedap saya paling suka bubur ayam sebab di malaysia tak pernah melihat kat mari senang liburan kat mari sebab pegawainya ramah tamah senang sekali baru datang sudah disambut dengan sangat hangat berikutnya bila masa saya nak ke jakarta pasti nginap kat mari terimakasi cik salsa sudah sangat membantu saya dan teman waktu sarapan,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Pelayanan Staf & Keramahan
Zianida Fira Noerma,2025,5,makanannya enak2 dan pilihannya banyak untuk tarifnya baru gameboardnya banyak pun di tempat pertemuan interiornya juga tidak terpasang sesuai dengan brandingnya koneksi lumayan oke tidak punya kolam renang tapi info dari staf mereka bekerja sama dengan gedung sebelahnya dan bisa menggunakan kolam renang di gedung sebelah dengan jam tertentu,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Kualitas Makanan & Restoran
Kim Byeol,2025,5,sarapannya enak dan banyak variannya kamarnya bersih dan unik modern banget stafnya juga gercep banget sejauh ini bagus banget terima kasih mba hanifah sudah ngajak ngobrol,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Kebersihan & Kenyamanan Kamar
Rossalina Meybella,2025,5,Kamar sangat nyaman tempat sangat bersih makanannya sangat enak pelayanan sangat amat baik semua staf nya terutama kak dhipta terbaik sekali,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Kebersihan & Kenyamanan Kamar
Bunga Bungeek,2025,5,menginap semalem tapi rasanya ingin memperpanjang kamarnya bersih kasurnya nyaman banget sampai susah bangun pagi stafnya juga super ramah serasa nginep di rumah sendiri lokasinya strategis banget tinggal jalan dikit udah sampai tanah abang pokoknya ibis gaya tanah abang kamu menang di hati aku,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Kebersihan & Kenyamanan Kamar
Rafi Nurohman,2025,5,hotelnya modern sekali estetika kamarnya juga super bersih apalagi stafnya keren pelayanannya bagus banget terutama staf yang bersihin kamar bernama agung,KOMPETITOR,Bintang 3,IbisStyleJakartaTanahAbang (1),positive,Kebersihan & Kenyamanan Kamar
