User Name,Review Time,Rating,clean_text,Tipe,Kelas,Nama_Hotel,AI_Sentiment,AI_Aspek
Ravi Chahal,2025,5,Saya baru-baru ini tinggal di jw marriott hotel surabaya dan memiliki pengalaman yang luar biasa hotel ini hanya besar dengan lokasi yang fantastis yang membuat bepergian di sekitar kota sangat nyaman layanan tidak kurang dari fenomenal dan staf sangat sopan dan profesional sebutan khusus pergi ke mr rohmad di resepsi dia sangat membantu selama pemeriksaan masuk dan memastikan semua kebutuhan saya telah ditangani dengan sempurna saya telah memberikan 4 bintang untuk kamar hanya karena penuaan menunjukkan masuk beberapa area kamar dan kamar mandi hardware merasa sedikit tua meskipun semuanya sepenuhnya fungsional dan baik,KOMPETITOR,Bintang 5,JWMarriotHotelSurabaya,positive,Pelayanan Staf & Keramahan
gishi009,2025,5,layanan profesional semua staf sangat ramah kamar nyaman baik untuk tidur maupun kerja mekanisme pelayanan saat sarapan sangat bagus menu sarapan sangat bervariasi dengan rasa yang enak lokasi juga di tengah kota dekat dengan keramaian,KOMPETITOR,Bintang 5,JWMarriotHotelSurabaya,positive,Kebersihan & Kenyamanan Kamar
Awim Krisdianto,2025,5,sudah 2 kali menginap dengan nyaman di jw marriott surabaya staf ramah baik dari satpam maupun resepsionis hanya saja parkirannya tidak ada peneduhnya meskipun hotel sudah 10 tahun lebih namun kamar bersih rapi dan pelayanan housekeeping baik serta ramah terima kasih kepada tim housekeeping khususnya mas diky dan mas welly atas perhatian selama menginap,KOMPETITOR,Bintang 5,JWMarriotHotelSurabaya,positive,Kebersihan & Kenyamanan Kamar
Evelyn Wongsosaputro,2025,4,Ini adalah hotel yang lebih tua dengan sedikit bau hotel tua terutama lorong tetapi mereka membuatnya dengan semua tambah lainnya titik lokasi yang bagus tepat smack masuk tengah daerah tunjungan berjalan kaki ke tunjungan plaza dan ayam goreng presiden layanan penting hangat dan perhatian sarapan menyebar adalah luar biasa banyak pilihan dan favorit lokal seperti tahu tek nasi duk goreng dan lupis bonus titik mereka benar-benar memiliki bar tersembunyi dengan koktail hebat mencoba strawberry negroni dan musik live di ruang bawah tanah disebut anonimo meminta salah satu staf untuk menunjukkan kepada Anda,KOMPETITOR,Bintang 5,JWMarriotHotelSurabaya,positive,Lokasi & Akses Strategis
Ivana,2025,5,Saya sering menginap di sini bersama klub hotel bagus pelayanannya slalu oke banyak fasilitas kolam renang taman bermain gym dan lain2 ank2 saya slalu bahagia jika meningap di sini,KOMPETITOR,Bintang 5,JWMarriotHotelSurabaya,positive,Fasilitas Hotel (Kolam/Gym/Spa)
Ono Cooper,2025,5,Tidak mengherankan bahwa hotel ini adalah masuk surabaya staf sangat ramah dan fasilitas seperti taman bermain kolam renang dan sauna adalah kelas atas sarapan dan makan malam penawaran sangat lezat dan siap ini dibuat untuk pengalaman ulang tahun yang tak terlupakan,KOMPETITOR,Bintang 5,JWMarriotHotelSurabaya,positive,Fasilitas Hotel (Kolam/Gym/Spa)
Happy Family,2025,2,menginap di sini tgl 6 7 desember 2025 untuk hotel bintang 5 avur buangan udara di tempat sampah sangat lambat shg wastafel kotor di tempat mandi kotak udara tidak mengalir ke lantai drain shg menggenang semata kaki jika dipakai mandi area parkir sangat sulit sekuriti tidak membantu untuk mengarahkan mencarikan tempat parkir hanya menyarankan untuk valet parkir yang berbayar 100rb layanan sarapan dikamar mengecewakan hanya diberi roti dimasukan jalan kantong kertas,KOMPETITOR,Bintang 5,JWMarriotHotelSurabaya,negative,Kebersihan & Kenyamanan Kamar
rdio primasatya,2025,3,Beberapa kali makan di restonya dan menu nya cukup bervariasi dan enak enak cuma setiap mau menginap dengan perusahaan selalu diarahkan ke pak sofyan dan tidak ada respon cukup kecewa dan akhirnya belum pernah jadi menginap di sini,KOMPETITOR,Bintang 5,JWMarriotHotelSurabaya,positive,Kualitas Makanan & Restoran
hangga noe89,2025,3,Resepsi nya nyolot waktu kita mau cek masuk mungkin karena kita sampai hotel sekitar jam 10 yang artinya belum bisa cek masuk lebih baik di informasikan jika tidak bisa cek masuk lebih awal dari pada bicara ke pelanggan jika kamar sedang di bersihkan karena keluarga kami sudah di hotel 1 hari sebelumnya atau di informasikan saja jika ada tambahan biaya saya rasa jg tidak masalah karena kami jauh datang dari luar kota,KOMPETITOR,Bintang 5,JWMarriotHotelSurabaya,negative,Kebersihan & Kenyamanan Kamar
Pradita Arisgi,2025,5,fasilitas lengkap semua desain detail petugasnya ramah makanan resto lumayan yang penting menuunya lengkap banget dari mulai makanan jawa timur asia dsb ada ada kegiatan untuk anak2,KOMPETITOR,Bintang 5,JWMarriotHotelSurabaya,positive,Kualitas Makanan & Restoran
